userName,score,content
S,4,"I'd love to have more features on ecosia, like the reverse image search feature google also has. A big reason I use Google is because the widget is customizable by color and size so I can have it on my home screen where I can use it easily. If Ecosia's 4x1 widget was more customizable, I'd use it for sure! It's awesome that a search engine like this exists."
urvashi jugtawat,5,"LOVE this browser ,being eco-friendly was never this easy, added advantage they don't collect data unethically , even block ads for you. It is my default browser. A lot of my family use Ecosia so it's a family thing for us."
Vinx,4,"I've never had any issues with ecosia until now. recently if I want to open a new tab on the same site another tab is active on, it just redirects me to the previous tab that was already opened instead of letting me open a separate one. sometimes I want to have several tabs of the same site on different pages, but it no longer allows that which is really annoying."
John Bradley,1,"Green washing as usual. You cannot claim to be looking out for the environment then have an AI chat. Especially one that when asked about its energy efficiency compared to a traditional search engine will imply it is more efficient than a traditional search. Then, when pressed on the topic, admits it is less energy efficient but tries to justify its use by saying it's okay to be less energy efficient as long as you use renewable energy and plant some trees. Gross."
Grace Allingham,1,It doesn't even work as a search engine. I can copy paste a URL from another browser and put it in ecosia and it doesn't take me directly to the website I just typed. no reason to use it.
Charlie Horne,1,"As someone who wants to reduce my environmental impact, I am exhausted by wasteful generative AI being pushed on users. When I got Ecosia, I did so with the expectation it would be an alternative to Google's forced (and often wrong) AI overview. I was annoyed by Ecosia's AI Chat, but fine. What got me to uninstall though was their recent addition of their OWN by-default AI search overview. Really??? Disappointing, for an ostensibly ""eco-friendly"" browser. I'm moving to DuckDuckGo."
Mark Barrett,5,"I love ecosia and everything they do, tree planting is very important they help our climate unfortunately we are all responsible for the climate breakdown and having any part to restore what we destroyed is a huge achievement. it's a honour to be a part of this."
Ileana G.,3,I don't understand how it can be environmentalist while using AI. It's unnecessary.
Naomi Skelton,2,"I changed to this browser instead of Samsung because I didn't want to use Google search anymore with it's automatic AI use. Ecosia seemed good at first glance. However, I'm unable to put opened tabs in stacked view. I find grid view of tabs very overwhelming & stressful to use. I've already abandoned several mainstream browsers due to stacked not being available. It's a shame because it looks like this browser could do some real good in the world."
Not Bubbly Starters,4,"At least it's just an option, but why did you have to add AI chat? That's just about the least eco friendly thing you could do as a search app."
Kelson Vibber,3,"Slightly better search results than Google Search these days, and slightly more private than using Google or Bing directly, though privacy isn't their primary focus. I appreciate the company's commitment to sustainability. The app, however, is just a stripped-down Chromium browser with an ad blocker. It's OK, but I'd rather use another browser and just change the search engine."
wolfvillenow,1,"SAME ISSUE. THIS APP CHANGES MY SETTING FOR CHECKING PAYMENT SAVED. SAME ISSUE IN JAN..EACH TIME I TURN OFF ""Allow sites to check payments saved Ecosia TURNS BACK ON. SEEMS VERY UNSAFE TO HAVE THIS SO MUST UNINSTALL AND HOPE PLAYSTORE REMOVES."
Tobias Plutta,1,made the effort to download the app on my phone as i expected the one browser that wants to be environmentally friendly to not use ai and was wildly disappointed.
Sree Thej,5,"Eco-Friendly Browsing with Full Transparency! Ecosia Browser is an amazing way to surf the web while helping the environment, and their financial transparency about tree planting is truly impressive"
Marguerite Egger,5,"Ecosia benutzte ich schon seit Ecosia benutze ich schon seit ich benutze Ecosia schon Jahren auf Keine Werbung so ein Glück, dazu 😃😃😃👍👍"
caleb,5,"As someone who's been using ecosia as my main search engine for YEARS (evidence of this being that I first left a review in 2019) and done probably thousands of searches, it's a bit disappointing that they took away how many trees you planted, left you with nothing for MONTHS, then make you start all over again with this seeds thing"
Nathaniel Hull,5,Made for an excellent cause & the developers are very transparent about how the funds are used. They're always adding cool new features that help with finding sustainable options as well!
