userName,score,content
Electro,5,"Absolutely amazing App. This app alone is helping the food waste situation dramatically, combating Climate change in a big way. instead of throwing ur food in the general waste bin, give it away where it won't be wasted. I highly recommend this App!"
Hamingbird DHAMMA,1,"So far money is involved , it can not call FREE , it can not be FREECYCLE. It will lead into business by making money and it will become a business platform slowly slowly. It has lost is efficiency . Money follows greed ! Life is love and compassion , giving it's one way not expecting anything in return.FOOD IS LIFE . THIS APP AND ITS FOUNDERS ARE GETTING GREEDIER AS HELL FORCING YOU TO UPDATE OR INSTALLING NEW VERSION, WHICH THEY RUN WITH MORE RULES AND BECOME BUSINESS ORIENTATED HOPE KARMA.."
Katherine Wong,3,"A very polarizing experience, given it's two sided nature of the platform. If you are looking for free / 2nd hand bargains - this is the place! Jackpot. Being prompt and kind will go a long way. However, if you are on the other side, giving away free stuff, you will have flakey, disrespectful, demanding, time wasters. This is an app that will show you the true colours of humanity unfortunately. If you can handle it, a great way to enable circularity!"
Juliet Steel,5,Brilliant way to recycle
Craig L,5,"Amazing app, been a user since 2019 and it's been awesome to see how much bigger the app has become and how much easier it is to share non food and food items. I pay a yearly fee to be a supporter, which means I don't see ads, ordinarily, I wouldn't be able to afford the fee, but when I collect food from my local volunteers, the value can far exceed £50 of free food, so much so, that I can actually save money now. So, I think Olio deserves every penny, may this amazing app keep growing."
Desmond Lim K.K,5,Excellent app. to keep environment green. Can bless unuse items to those who need it more.
Anca Moise,5,"Using the OLIO app has been a very positive experience for me. It's a great platform that allows people to share free food and other items they no longer need, helping to reduce waste and support those in need. I’ve used it to both give and receive food, and it feels amazing to know that instead of throwing things away, I can help someone else. OLIO is not only helping people, but it’s also making a big difference for the environment by reducing food waste. I highly recommend !"
leicester 159,5,"i love this app. i dont know where to put feedback. so i do it here. there should be. an automatic question to question asking them to propose a time or time window for collection. also that would be nice to be able to swap old stuff. example. example i have to swap/sell bicycle, a pair or rollerskates and all gameconsole in my listing. i find a pushchair i like. i propose the olier to have a look in my listing. he cant find anything but tells me he is looking for camping equipment. sorry for t"
Alexa Ding,3,The cause is good but the team.behind has become too focused on making money from ads and too far removed from reality. The user experience has gone downhill
Mualla Dale,5,"Modern Robin Hood app! Helps a lot of people. Thank you just been. Highly recommended Give your unwanted things to your neighbours. And they do the same. You save, they save, win win."
Andrea White,5,"wonderful app, but for those who can't become a member. We understand the app and team needs money to run, however the length of the adverts are too long. what about making them slightly shorter? we have missed on items we came first because the ad froze or took too long. Thank you for your hard work and making this app great."
Deborah Key,5,"Olio is a fantastic way of stretching my food budget offering a wide variety of foods within easy pickup of my home. I am becoming more adventurous with the dishes I prepare - a bit like the old TV programme Ready Steady Cook! I am eating more healthy, cooked from scratch dishes too! I even got some beautiful free roses this week too."
nicola Ashmore,5,"A fantastic way to fight waste and help others I've been a volunteer with Olio for over a year now, and it's been an incredibly rewarding experience. The app is a brilliant idea—helping reduce waste by sharing surplus food and items that would otherwise end up in landfill. It's amazing to see how much of a difference it makes in the community. I love being part of something that not only helps the planet but also supports people in need. Highly recommend!"
Chantalle Coombes,5,brilliant concept and brilliant app. I love how this services helps the community and the planet by saving food waste
john mcgrory,5,excellent way to recycle
Debbie Mills,5,A wonderful chance to save the planet
Justin Hubert,1,how a great app has become rubbish
Bunny & Alex Avila,1,"I misunderstood that this was a 💯 free app to eliminate clutter. The request for funding was a major turn off. I'll go back to the other clutter elimination eco-friendly app which is 💯 free for everyone, without the surcharges."
Alix Edwards,2,Great idea but the app is slow and not working at all now on my phone At least before it was accessible via laptop. Olio concept and community however is brilliant 👏 and I recommend it
Canny,5,"Once I discovered this app I've not stopped using it. I've told all my friends and would definitely recommend to everyone. There mission to lower the food wasted daily from big branded outlets is fantastic and sumin everyone should be getting involved wiv. ""fantastic"" service n app is easy to use"
Alba del Pozo,1,"Another example of enshitification. This app was good and user friendly: food and non food items. But the recent version is confusing, now getting the listings in distance order is more complicated, and the point was about free stuff. I hate the selling stuff, it may become another marketplace. I deleted it from my phone."
W “WK” Khan,5,"Great app for saving money, recycling, donating or swlling/buying."
Dean Clapham,1,A useful App that the developers look intent on ruining. Now even worse than before. It loads Ads then freezes the App for a few seconds to force you to see the Ad before you can scroll past it. Very $hitty.
Michael Cain,1,"it will not update my location after many attempts at reinstalling it. it freezes. it thinks I live in London. this app is utter rubbish. I have spent hours trying to find out why. after it fails to update location, it sits there for hours on end with a white blank screen. even rebooting the phone does nothing. the initial screen, comes on less that a second, so cannot even access it main menu"
Nishu Goyal,5,"This app is awesome, first of all it saves food from going to waste and second it helps people om budget. I started using it when, I were a student as it helped me with my hudget but after that it was more like saving money and food both."
will shackleton,5,Really good for saving the planet
Wendy Bushell,1,"Disappointed that this app now allows listings for items that people want money for, it's just become another rubbish selling app and lost sight of what it originally was intended for."
BigHitBox,1,The app used to be great and the adverts were fair and only lasted a few seconds but recently things have changed. The adverts last around 2 minutes and that is only when your presented with a countdown timer which can be anything from 13-40 seconds each. olio is plagued with these persistent ads now and it's very frustrating and has made the app unusable. it's a perfect example of when greed ruins a good thing. they are trying really really hard to force you into paying for a subscription.
mark,1,"These women are grifters. 30 second advert, requesting olio helpers, from. the people who are looking for free food, before being able to request each individual item is insane. Food waste is simply transferred from the supermarket to the home users. Masses of waste, still. Virtue signalling business women pretending to be a charity."
Peter Gastall,5,"I was homeless and in need of food and olio was a major part of sustainability for me, now I'm housed I'm collecting and giving the same back to those who now need it. 5*"
sudan silwal,5,very usefull.. this app is helping make world more sustainable
James mcdonald,5,Great way to recycle unwanted items. Love it.
Mason Jeffs,1,the adds take the piss it went from 1 15 second ads to 2 30 second ads in a row
Agnieszka Chojniak,5,This app is great for reusing and repurposing items!this app is for everyone who hates waste and cares about our planet 🙂
